Feature,Coefficient Value,Category
hdb_age,-3437.181384000781,hdb_age
mid,3358.04301124688,storey
max_floor_lvl,2798.38494366813,storey
floor_area_sqft,308.4460314959,floor_area_sqft
pri_sch_nearest_distance,10.590783496593644,sch
sec_sch_nearest_dist,9.706293992554038,sch
hawker_nearest_distance,-18.10528505838775,hawker
mrt_nearest_distance,-58.25904777893696,mrt/bus
bus_interchange,6904.620000433941,mrt/bus
mrt_interchange,4099.51615913676,mrt/bus
mall_nearest_distance,-16.22415862974958,mall
planning_area_Bedok,-13054.566722909749,planning_area
planning_area_Bishan,94979.4094615388,planning_area
planning_area_Bukit Batok,-42022.71838469833,planning_area
planning_area_Bukit Merah,86164.38572235465,planning_area
planning_area_Bukit Panjang,-109099.5265382057,planning_area
planning_area_Bukit Timah,155308.16192847717,planning_area
planning_area_Changi,161491.07584681932,planning_area
planning_area_Choa Chu Kang,-105278.92738125526,planning_area
planning_area_Clementi,27550.680535423864,planning_area
planning_area_Downtown Core,163828.89494515737,planning_area
planning_area_Geylang,21103.136052876354,planning_area
planning_area_Hougang,-48746.8407042931,planning_area
planning_area_Jurong East,-49437.80692758775,planning_area
planning_area_Jurong West,-90442.1857646716,planning_area
planning_area_Kallang,32495.36104413492,planning_area
planning_area_Marine Parade,202978.0444381912,planning_area
planning_area_Novena,23259.253640628325,planning_area
planning_area_Outram,77855.17687815957,planning_area
planning_area_Pasir Ris,-59964.54379277707,planning_area
planning_area_Punggol,-35263.860381837854,planning_area
planning_area_Queenstown,78539.72567227426,planning_area
planning_area_Rochor,14784.686593929213,planning_area
planning_area_Sembawang,-142759.84348450796,planning_area
planning_area_Sengkang,-73477.84349089931,planning_area
planning_area_Serangoon,35113.97202804472,planning_area
planning_area_Tampines,-25944.28863239279,planning_area
planning_area_Tanglin,195739.11879484763,planning_area
planning_area_Toa Payoh,33681.36543674925,planning_area
planning_area_Western Water Catchment,-76009.70351456515,planning_area
planning_area_Woodlands,-134796.46647938906,planning_area
planning_area_Yishun,-77835.23824470887,planning_area
full_flat_type_2 ROOM 2-room,14968.738915768547,full_flat_type
full_flat_type_2 ROOM DBSS,-12538.807445940007,full_flat_type
full_flat_type_2 ROOM Improved,-6690.792549102407,full_flat_type
full_flat_type_2 ROOM Model A,-4553.099901525231,full_flat_type
full_flat_type_2 ROOM Premium Apartment,15247.934608827387,full_flat_type
full_flat_type_2 ROOM Standard,-17004.336779793037,full_flat_type
full_flat_type_3 ROOM DBSS,62835.41696974908,full_flat_type
full_flat_type_3 ROOM Improved,7519.021863125699,full_flat_type
full_flat_type_3 ROOM Model A,31889.490502387293,full_flat_type
full_flat_type_3 ROOM New Generation,30460.666343649453,full_flat_type
full_flat_type_3 ROOM Premium Apartment,16644.13365214518,full_flat_type
full_flat_type_3 ROOM Simplified,45779.55102487308,full_flat_type
full_flat_type_3 ROOM Standard,13362.769770462046,full_flat_type
full_flat_type_3 ROOM Terrace,438662.7339243632,full_flat_type
full_flat_type_4 ROOM Adjoined flat,124289.52801396338,full_flat_type
full_flat_type_4 ROOM DBSS,133862.192263994,full_flat_type
full_flat_type_4 ROOM Improved,29653.56953286702,full_flat_type
full_flat_type_4 ROOM Model A,37050.076423213344,full_flat_type
full_flat_type_4 ROOM Model A2,43554.25657021784,full_flat_type
full_flat_type_4 ROOM New Generation,50576.181458912324,full_flat_type
full_flat_type_4 ROOM Premium Apartment,56178.27438296515,full_flat_type
full_flat_type_4 ROOM Premium Apartment Loft,169105.16085008354,full_flat_type
full_flat_type_4 ROOM Simplified,49995.86624070534,full_flat_type
full_flat_type_4 ROOM Standard,61159.023848757744,full_flat_type
full_flat_type_4 ROOM Terrace,469844.14681541256,full_flat_type
full_flat_type_4 ROOM Type S1,144625.70272052407,full_flat_type
full_flat_type_5 ROOM Adjoined flat,115867.0712359462,full_flat_type
full_flat_type_5 ROOM DBSS,192328.07081481424,full_flat_type
full_flat_type_5 ROOM Improved,54907.83990147643,full_flat_type
full_flat_type_5 ROOM Improved-Maisonette,228385.8659782777,full_flat_type
full_flat_type_5 ROOM Model A,46064.996657039024,full_flat_type
full_flat_type_5 ROOM Model A-Maisonette,165642.57714048313,full_flat_type
full_flat_type_5 ROOM Premium Apartment,54108.34405100101,full_flat_type
full_flat_type_5 ROOM Premium Apartment Loft,211134.40787407066,full_flat_type
full_flat_type_5 ROOM Standard,92040.09859864364,full_flat_type
full_flat_type_5 ROOM Type S2,219064.16216103255,full_flat_type
full_flat_type_EXECUTIVE Adjoined flat,161194.99740656163,full_flat_type
full_flat_type_EXECUTIVE Apartment,99554.68750158462,full_flat_type
full_flat_type_EXECUTIVE Maisonette,130652.626938238,full_flat_type
full_flat_type_EXECUTIVE Premium Apartment,74852.80023588409,full_flat_type
full_flat_type_EXECUTIVE Premium Maisonette,162809.69049044827,full_flat_type
full_flat_type_MULTI-GENERATION Multi Generation,191499.303210011,full_flat_type
